ProcessID=223 : Parent_ProcessID=2 : Average_Running_Time=.01082752023172905525
ProcessID=22386 : Parent_ProcessID=2 : Average_Running_Time=.01417614974082662665
ProcessID=224 : Parent_ProcessID=2 : Average_Running_Time=.00449250000000000000
ProcessID=22483 : Parent_ProcessID=2 : Average_Running_Time=.02689658929517753047
ProcessID=22518 : Parent_ProcessID=2 : Average_Running_Time=.02342322087912087912
ProcessID=225 : Parent_ProcessID=2 : Average_Running_Time=.00279450000000000000
ProcessID=226 : Parent_ProcessID=2 : Average_Running_Time=.00452900000000000000
ProcessID=22682 : Parent_ProcessID=2 : Average_Running_Time=.02796554545454545454
ProcessID=227 : Parent_ProcessID=2 : Average_Running_Time=.00531450000000000000
ProcessID=22887 : Parent_ProcessID=2 : Average_Running_Time=.02575050135685210312
ProcessID=229 : Parent_ProcessID=2 : Average_Running_Time=.00363150000000000000
ProcessID=22923 : Parent_ProcessID=2 : Average_Running_Time=.00301500000000000000
ProcessID=22938 : Parent_ProcessID=2 : Average_Running_Time=.01825931418312387791
ProcessID=23057 : Parent_ProcessID=2 : Average_Running_Time=.03816658750000000000
ProcessID=23191 : Parent_ProcessID=2 : Average_Running_Time=.01815100000000000000
ProcessID=23 : Parent_ProcessID=2 : Average_Running_Time=.04002768181818181818
ProcessID=232 : Parent_ProcessID=2 : Average_Running_Time=.00614450000000000000
ProcessID=24 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=247 : Parent_ProcessID=2 : Average_Running_Time=.08604501211776957303
ProcessID=248 : Parent_ProcessID=2 : Average_Running_Time=.03247513345404144420
ProcessID=25 : Parent_ProcessID=2 : Average_Running_Time=.20025000634517766497
ProcessID=255 : Parent_ProcessID=2 : Average_Running_Time=.03435120000000000000
ProcessID=256 : Parent_ProcessID=2 : Average_Running_Time=.01911833333333333333
ProcessID=257 : Parent_ProcessID=2 : Average_Running_Time=.00178950000000000000
ProcessID=259 : Parent_ProcessID=2 : Average_Running_Time=.01208891310789611295
ProcessID=260 : Parent_ProcessID=2 : Average_Running_Time=.01425789296179258833
ProcessID=26 : Parent_ProcessID=2 : Average_Running_Time=.01476844397186324227
ProcessID=28 : Parent_ProcessID=2 : Average_Running_Time=.00532720000000000000
ProcessID=286 : Parent_ProcessID=2 : Average_Running_Time=.00248000000000000000
ProcessID=29 : Parent_ProcessID=2 : Average_Running_Time=.24576372727272727272
ProcessID=30 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=31 : Parent_ProcessID=2 : Average_Running_Time=.21292255684754521963
ProcessID=3 : Parent_ProcessID=2 : Average_Running_Time=.00098600000000000000
ProcessID=32 : Parent_ProcessID=2 : Average_Running_Time=.01722794006428436377
